"","Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths","state"
"1684","Rockies and Northeast Severe Weather (July 2016)","Severe Storm",20160728,20160730,1597.6,0,"PA"
"1685","Midwest Severe Weather (June 2017)","Severe Storm",20170612,20170616,1599.6,0,"PA"
"1686","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"PA"
"1687","Northeast Winter Storm (March 2018)","Winter Storm",20180301,20180303,2259.9,9,"PA"
"1688","Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1357.8,3,"PA"
"1689","Central and Northeastern Severe Weather (May 2018)","Severe Storm",20180501,20180504,1432,0,"PA"
"1690","Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1411.1,5,"PA"
"1691","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"PA"
"1692","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"RI"
"1693","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"RI"
"1694","Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1519.7,80,"RI"
"1695","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"RI"
"1696","Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2089.1,11,"RI"
"1697","Hurricane Bob (August 1991)","Tropical Cyclone",19910818,19910820,2870.5,18,"RI"
"1698","Northeast Winter Storm (December 1992)","Winter Storm",19921210,19921213,4618.5,19,"RI"
"1699","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"RI"
"1700","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"RI"
"1701","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"RI"
"1702","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"RI"
"1703","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"RI"
"1704","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"RI"
"1705","Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10190.8,77,"RI"
"1706","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"RI"
"1707","Northeast Flooding (March 2010)","Flooding",20100301,20100331,2194.6,11,"RI"
"1708","Groundhog Day Blizzard (February 2011)","Winter Storm",20110201,20110203,2099.1,36,"RI"
"1709","Hurricane Irene (August 2011)","Tropical Cyclone",20110826,20110828,15787.9,45,"RI"
"1710","Hurricane Sandy (October 2012)","Tropical Cyclone",20121030,20121031,73494.6,159,"RI"
"1711","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"RI"
"1712","West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,3764.1,0,"RI"
"1713","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"RI"
"1714","Northeast Winter Storm (March 2018)","Winter Storm",20180301,20180303,2259.9,9,"RI"
"1715","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"SC"
"1716","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"SC"
"1717","Severe storms (June 1982)","Severe Storm",19820531,19820610,1310.4,30,"SC"
"1718","Southeast Drought (Summer 1983)","Drought",19830601,19830831,7795.5,0,"SC"
"1719","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"SC"
"1720","Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1519.7,80,"SC"
"1721","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"SC"
"1722","Southeast Drought/Heatwave (Summer 1986)","Drought",19860601,19860831,4238.6,100,"SC"
"1723","Severe Storms (May 1989)","Severe Storm",19890501,19890506,1169.1,21,"SC"
"1724","Hurricane Hugo (September 1989)","Tropical Cyclone",19890921,19890922,19079.7,86,"SC"
"1725","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"SC"
"1726","Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1231.9,0,"SC"
"1727","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"SC"
"1728","Southeast Drought/Heat Wave (Summer 1993)","Drought",19930601,19930831,2264.4,16,"SC"
"1729","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"SC"
"1730","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"SC"
"1731","Hurricane Opal (October 1995)","Tropical Cyclone",19951004,19951006,8018.2,27,"SC"
"1732","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"SC"
"1733","Hurricane Fran (September 1996)","Tropical Cyclone",19960905,19960908,8361.7,37,"SC"
"1734","Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)","Severe Storm",19971201,19980228,1627.3,132,"SC"
"1735","Hurricane Bonnie (August 1998)","Tropical Cyclone",19980827,19980829,1558.2,3,"SC"
"1736","Southern Drought/Heat Wave (Summer 1998)","Drought",19980601,19980831,5609.5,200,"SC"
"1737","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"SC"
"1738","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"SC"
"1739","Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,3923.4,502,"SC"
"1740","Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10190.8,77,"SC"
"1741","Southeast Winter Storm (January 2000)","Winter Storm",20000121,20000124,1073.1,4,"SC"
"1742","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"SC"
"1743","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"SC"
"1744","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"SC"
"1745","Severe Weather (July 2003)","Severe Storm",20030721,20030723,1431.6,7,"SC"
"1746","Hurricane Charley (August 2004)","Tropical Cyclone",20040813,20040814,22239.3,35,"SC"
"1747","Hurricane Frances (September 2004)","Tropical Cyclone",20040903,20040909,13622.1,48,"SC"
"1748","Hurricane Jeanne (September 2004)","Tropical Cyclone",20040915,20040929,10420.1,28,"SC"
"1749","Spring Freeze (April 2007)","Freeze",20070404,20070410,2596.1,0,"SC"
"1750","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"SC"
"1751","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"SC"
"1752","Southeast Tornadoes (March 2008)","Severe Storm",20080314,20080315,1379.8,5,"SC"
"1753","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"SC"
"1754","South/Southeast Severe Weather & Tornadoes (April 2009)","Severe Storm",20090409,20090410,1744.7,6,"SC"
"1755","Midwest, South and East Severe Weather (June 2009)","Severe Storm",20090609,20090612,1620.3,0,"SC"
"1756","Rockies/Central/East Severe Weather (June 2010)","Severe Storm",20100610,20100615,1072.3,2,"SC"
"1757","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110404,20110405,3247.1,9,"SC"
"1758","Southeast/Midwest Tornadoes (April 2011)","Severe Storm",20110408,20110411,2549.9,0,"SC"
"1759","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110414,20110416,2409.3,38,"SC"
"1760","Midwest/Southeast Tornadoes and Severe Weather (June 2011)","Severe Storm",20110618,20110622,1798.6,3,"SC"
"1761","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"SC"
"1762","Plains/East/Northeast Severe Weather (June-July 2012)","Severe Storm",20120629,20120702,3264,28,"SC"
"1763","Midwest/Southeast/Northeast Winter Storm (January 2014)","Winter Storm",20140105,20140108,2390,16,"SC"
"1764","Rockies/Midwest/Eastern Severe Weather (May 2014)","Severe Storm",20140518,20140523,4084.6,0,"SC"
"1765","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"SC"
"1766","South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1412.3,0,"SC"
"1767","Texas and Oklahoma Flooding and Severe Weather (May 2015)","Flooding",20150523,20150526,2750.7,31,"SC"
"1768","South Carolina and East Coast Flooding (October 2015)","Flooding",20151001,20151005,2198,25,"SC"
"1769","Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1133.6,10,"SC"
"1770","Hurricane Matthew (October 2016)","Tropical Cyclone",20161008,20161012,10900,49,"SC"
"1771","Southern Tornado Outbreak and Western Storms (January 2017)","Severe Storm",20170120,20170122,1171.3,24,"SC"
"1772","Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,1914.5,6,"SC"
"1773","Southeast Freeze (March 2017)","Freeze",20170314,20170316,1060,0,"SC"
"1774","Hurricane Irma (September 2017)","Tropical Cyclone",20170906,20170912,52000,97,"SC"
"1775","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"SC"
"1776","Southeastern Tornadoes and Severe Weather (March 2018)","Severe Storm",20180318,20180321,1495.7,0,"SC"
"1777","Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1357.8,3,"SC"
"1778","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"SC"
"1779","Hurricane Florence (September 2018)","Tropical Cyclone",20180913,20180916,24480,53,"SC"
"1780","Hurricane Michael (October 2018)","Tropical Cyclone",20181010,20181011,25474.5,49,"SC"
"1781","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"SD"
"1782","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"SD"
"1783","Severe Storms and Hail (June 1984)","Severe Storm",19840613,19840617,1124.4,1,"SD"
"1784","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"SD"
"1785","Northern Plains Drought (Summer-Fall 1989)","Drought",19890601,19891130,6366.6,0,"SD"
"1786","Midwest Flooding (Summer 1993)","Flooding",19930627,19930815,37729.7,48,"SD"
"1787","Midwest/Plains Tornadoes (April 1994)","Severe Storm",19940425,19940427,1733.7,3,"SD"
"1788","Northern Plains Flooding (Spring 1997)","Flooding",19970203,19970524,5956,11,"SD"
"1789","Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1810.2,20,"SD"
"1790","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"SD"
"1791","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"SD"
"1792","Western/Central Drought/Heatwave (Spring-Fall 2003)","Drought",20030301,20031130,7095.1,35,"SD"
"1793","Midwest Drought (Spring-Summer 2005)","Drought",20050301,20050831,1990.9,0,"SD"
"1794","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"SD"
"1795","Numerous Wildfires (2006)","Wildfire",20060101,20061231,1907.2,28,"SD"
"1796","Missouri River flooding (May-June 2011)","Flooding",20110501,20110630,2342.6,5,"SD"
"1797","Midwest/Southeast Severe Weather (August 2011)","Severe Storm",20110817,20110818,1347.1,0,"SD"
"1798","Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,1964.6,8,"SD"
"1799","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"SD"
"1800","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"SD"
"1801","Rockies/Central Plains Severe Weather (June 2014)","Severe Storm",20140603,20140605,2111.2,2,"SD"
"1802","Southern Plains Tornadoes (May 2015)","Severe Storm",20150506,20150510,1399.3,4,"SD"
"1803","Central and Northeast Severe Weather (June 2015)","Severe Storm",20150621,20150625,1289.1,1,"SD"
"1804","North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)","Drought",20170301,20171231,2600,0,"SD"
"1805","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"TN"
"1806","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"TN"
"1807","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"TN"
"1808","Southeast Drought (Summer 1983)","Drought",19830601,19830831,7795.5,0,"TN"
"1809","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"TN"
"1810","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"TN"
"1811","Southeast Drought/Heatwave (Summer 1986)","Drought",19860601,19860831,4238.6,100,"TN"
"1812","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"TN"
"1813","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"TN"
"1814","Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1231.9,0,"TN"
"1815","Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1221.8,26,"TN"
"1816","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"TN"
"1817","Southeast Drought/Heat Wave (Summer 1993)","Drought",19930601,19930831,2264.4,16,"TN"
"1818","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"TN"
"1819","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"TN"
"1820","Hurricane Opal (October 1995)","Tropical Cyclone",19951004,19951006,8018.2,27,"TN"
"1821","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"TN"
"1822","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"TN"
"1823","Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1810.2,20,"TN"
"1824","Southern Drought/Heat Wave (Summer 1998)","Drought",19980601,19980831,5609.5,200,"TN"
"1825","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"TN"
"1826","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"TN"
"1827","Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,3923.4,502,"TN"
"1828","Southeast Winter Storm (January 2000)","Winter Storm",20000121,20000124,1073.1,4,"TN"
"1829","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"TN"
"1830","Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3036.2,7,"TN"
"1831","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"TN"
"1832","Severe Storms/Hail (April 2003)","Severe Storm",20030404,20030407,2849,3,"TN"
"1833","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"TN"
"1834","Severe Weather (July 2003)","Severe Storm",20030721,20030723,1431.6,7,"TN"
"1835","Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,28495.7,57,"TN"
"1836","Hurricane Katrina (August 2005)","Tropical Cyclone",20050825,20050830,168762.2,1833,"TN"
"1837","Severe Storms and Tornadoes (March 2006)","Severe Storm",20060308,20060313,1738.9,10,"TN"
"1838","Midwest/Southeast Tornadoes (April 6-8, 2006)","Severe Storm",20060406,20060408,2084.9,10,"TN"
"1839","Spring Freeze (April 2007)","Freeze",20070404,20070410,2596.1,0,"TN"
"1840","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"TN"
"1841","Southeast Tornadoes and Severe Weather (February 2008)","Severe Storm",20080205,20080206,1478.1,57,"TN"
"1842","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"TN"
"1843","Southeast/Ohio Valley Severe Weather (February 2009)","Severe Storm",20090210,20090211,2123,10,"TN"
"1844","Midwest/Southeast Tornadoes (March 2009)","Severe Storm",20090325,20090328,2001.4,0,"TN"
"1845","South/Southeast Severe Weather & Tornadoes (April 2009)","Severe Storm",20090409,20090410,1744.7,6,"TN"
"1846","Midwest, South and East Severe Weather (June 2009)","Severe Storm",20090609,20090612,1620.3,0,"TN"
"1847","East/South Flooding and Severe Weather (May 2010)","Flooding",20100430,20100502,2696.8,32,"TN"
"1848","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110404,20110405,3247.1,9,"TN"
"1849","Southeast/Midwest Tornadoes (April 2011)","Severe Storm",20110408,20110411,2549.9,0,"TN"
"1850","Ohio Valley/South Tornadoes (April 2011)","Severe Storm",20110419,20110420,1213.8,0,"TN"
"1851","Southeast/Ohio Valley/Midwest Tornadoes (April 2011)","Severe Storm",20110425,20110428,11959.6,321,"TN"
"1852","Midwest/Southeast Tornadoes (May 2011)","Severe Storm",20110522,20110527,10643.3,177,"TN"
"1853","Mississippi River flooding (April-May 2011)","Flooding",20110401,20110531,3493.6,7,"TN"
"1854","Midwest/Southeast Tornadoes and Severe Weather (June 2011)","Severe Storm",20110618,20110622,1798.6,3,"TN"
"1855","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"TN"
"1856","Tropical Storm Lee (September 2011)","Tropical Cyclone",20110901,20110905,2939.6,21,"TN"
"1857","Southeast/Ohio Valley Tornadoes (March 2012)","Severe Storm",20120302,20120303,3535.5,42,"TN"
"1858","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"TN"
"1859","Southeast Severe Weather (March 2013)","Severe Storm",20130318,20130318,2262.4,1,"TN"
"1860","Midwest/Southeast/Northeast Winter Storm (January 2014)","Winter Storm",20140105,20140108,2390,16,"TN"
"1861","Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,1909.9,33,"TN"
"1862","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"TN"
"1863","Midwest/Ohio Valley Severe Weather (April 2015)","Severe Storm",20150407,20150409,1711.1,2,"TN"
"1864","South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1412.3,0,"TN"
"1865","Texas Tornadoes and Midwest Flooding (December 2015)","Severe Storm",20151226,20151229,2158.2,50,"TN"
"1866","Plains Tornadoes and Central Severe Weather (May 2016)","Severe Storm",20160508,20160511,1874.5,2,"TN"
"1867","Western/Southeast Wildfires (Summer-Fall 2016)","Wildfire",20160601,20161231,2610.8,21,"TN"
"1868","Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,1914.5,6,"TN"
"1869","Southeast Freeze (March 2017)","Freeze",20170314,20170316,1060,0,"TN"
"1870","South/Southeast Severe Weather (March 2017)","Severe Storm",20170326,20170328,2856.7,0,"TN"
"1871","Missouri and Arkansas Flooding and Central Severe Weather (May 2017)","Flooding",20170425,20170507,1758.5,20,"TN"
"1872","Hurricane Harvey (August 2017)","Tropical Cyclone",20170825,20170831,130000,89,"TN"
"1873","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"TN"
"1874","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"TN"
"1875","Hurricane Allen (August 1980)","Tropical Cyclone",19800807,19800811,1953,13,"TX"
"1876","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"TX"
"1877","Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)","Severe Storm",19810505,19810510,1188.2,20,"TX"
"1878","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"TX"
"1879","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"TX"
"1880","Severe storms (June 1982)","Severe Storm",19820531,19820610,1310.4,30,"TX"
"1881","Hurricane Alicia (August 1983)","Tropical Cyclone",19830817,19830820,7890,21,"TX"
"1882","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"TX"
"1883","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"TX"
"1884","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"TX"
"1885","Severe Storms (May 1989)","Severe Storm",19890501,19890506,1169.1,21,"TX"
"1886","Northern Plains Drought (Summer-Fall 1989)","Drought",19890601,19891130,6366.6,0,"TX"
"1887","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"TX"
"1888","Southern Flooding (May 1990)","Flooding",19900511,19900519,2034,13,"TX"
"1889","Severe Storms (March 1992)","Severe Storm",19920324,19920325,1496.1,0,"TX"
"1890","Hail, Tornadoes (April 1992)","Severe Storm",19920428,19920429,1775.2,0,"TX"
"1891","Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1221.8,26,"TX"
"1892","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"TX"
"1893","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"TX"
"1894","Midwest/Plains Tornadoes (April 1994)","Severe Storm",19940425,19940427,1733.7,3,"TX"
"1895","Texas Flooding (October 1994)","Flooding",19941016,19941025,1760,19,"TX"
"1896","Western Fire Season (Summer-Fall 1994)","Wildfire",19940601,19941130,1276,0,"TX"
"1897","South Plains Severe Weather (May 1995)","Severe Storm",19950505,19950507,9381.8,32,"TX"
"1898","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"TX"
"1899","Southern Plains Drought (Spring-Summer 1996)","Drought",19960301,19960831,2991.7,0,"TX"
"1900","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"TX"
"1901","Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)","Severe Storm",19971201,19980228,1627.3,132,"TX"
"1902","Tropical Storm Frances (September 1998)","Tropical Cyclone",19980808,19980813,1113,2,"TX"
"1903","Southern Drought/Heat Wave (Summer 1998)","Drought",19980601,19980831,5609.5,200,"TX"
"1904","Texas Flooding (October 1998)","Flooding",19981016,19981024,1497.9,31,"TX"
"1905","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"TX"
"1906","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"TX"
"1907","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"TX"
"1908","Midwest/Ohio Valley Hail and Tornadoes (April 2001)","Severe Storm",20010406,20010411,4549.5,3,"TX"
"1909","Tropical Storm Allison (June 2001)","Tropical Cyclone",20010605,20010617,12527.4,43,"TX"
"1910","Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3036.2,7,"TX"
"1911","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"TX"
"1912","Severe Storms/Hail (April 2003)","Severe Storm",20030404,20030407,2849,3,"TX"
"1913","Southeast Severe Weather (March 2005)","Severe Storm",20050324,20050327,1168,0,"TX"
"1914","Hurricane Rita (September 2005)","Tropical Cyclone",20050920,20050924,24975.1,119,"TX"
"1915","Severe Storms and Tornadoes (March 2006)","Severe Storm",20060308,20060313,1738.9,10,"TX"
"1916","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"TX"
"1917","Numerous Wildfires (2006)","Wildfire",20060101,20061231,1907.2,28,"TX"
"1918","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"TX"
"1919","Southeast Tornadoes and Severe Weather (February 2008)","Severe Storm",20080205,20080206,1478.1,57,"TX"
"1920","Southern Severe Weather (April 2008)","Severe Storm",20080409,20080411,1268.3,2,"TX"
"1921","Hurricane Dolly (July 2008)","Tropical Cyclone",20080723,20080725,1546.1,3,"TX"
"1922","Hurricane Ike (September 2008)","Tropical Cyclone",20080912,20080914,36598.4,112,"TX"
"1923","U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1505.5,16,"TX"
"1924","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"TX"
"1925","Southeast/Ohio Valley Severe Weather (February 2009)","Severe Storm",20090210,20090211,2123,10,"TX"
"1926","Midwest/Southeast Tornadoes (March 2009)","Severe Storm",20090325,20090328,2001.4,0,"TX"
"1927","Midwest, South and East Severe Weather (June 2009)","Severe Storm",20090609,20090612,1620.3,0,"TX"
"1928","Western Wildfires (Summer-Fall 2009)","Wildfire",20090601,20091130,1234.4,10,"TX"
"1929","Southwest/Great Plains Drought (2009)","Drought",20090101,20091231,4260.3,0,"TX"
"1930","Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)","Severe Storm",20100510,20100512,3967.2,3,"TX"
"1931","Groundhog Day Blizzard (February 2011)","Winter Storm",20110201,20110203,2099.1,36,"TX"
"1932","Southeast/Midwest Tornadoes (April 2011)","Severe Storm",20110408,20110411,2549.9,0,"TX"
"1933","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110414,20110416,2409.3,38,"TX"
"1934","Ohio Valley/South Tornadoes (April 2011)","Severe Storm",20110419,20110420,1213.8,0,"TX"
"1935","Southeast/Ohio Valley/Midwest Tornadoes (April 2011)","Severe Storm",20110425,20110428,11959.6,321,"TX"
"1936","Midwest/Southeast Tornadoes (May 2011)","Severe Storm",20110522,20110527,10643.3,177,"TX"
"1937","Midwest/Southeast Tornadoes and Severe Weather (June 2011)","Severe Storm",20110618,20110622,1798.6,3,"TX"
"1938","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"TX"
"1939","Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)","Wildfire",20110601,20111130,2130.3,5,"TX"
"1940","Texas Tornadoes (April 2012)","Severe Storm",20120402,20120403,1147.2,0,"TX"
"1941","Midwest/Ohio Valley Severe Weather (April-May 2012)","Severe Storm",20120428,20120501,3702.2,1,"TX"
"1942","Southern Plains/Midwest/Northeast Severe Weather (May 2012)","Severe Storm",20120525,20120530,2603.2,1,"TX"
"1943","Rockies/Southwest Severe Weather (June 2012)","Severe Storm",20120606,20120612,2935.5,0,"TX"
"1944","Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,1964.6,8,"TX"
"1945","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"TX"
"1946","Midwest/Plains/East Tornadoes (May 2013)","Severe Storm",20130518,20130522,2688.2,27,"TX"
"1947","Midwest/Plains/Northeast Tornadoes (May 2013)","Severe Storm",20130527,20130531,2031,10,"TX"
"1948","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"TX"
"1949","Plains Severe Weather (April 2014)","Severe Storm",20140402,20140403,1566.4,0,"TX"
"1950","Rockies/Plains Severe Weather (September 2014)","Severe Storm",20140929,20141002,1540.4,0,"TX"
"1951","Western Drought (2014)","Drought",20140101,20141231,4367.3,0,"TX"
"1952","Midwest/Ohio Valley Severe Weather (April 2015)","Severe Storm",20150407,20150409,1711.1,2,"TX"
"1953","South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1412.3,0,"TX"
